Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'B365A'], Accuracy: 0.5579, Spearman: 0.9444
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'B365A'], Accuracy: 0.5474, Spearman: 0.9143
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'B365A'], Accuracy: 0.5947, Spearman: 0.9744
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'B365A'], Accuracy: 0.5395, Spearman: 0.9504
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'B365A'], Accuracy: 0.4921, Spearman: 0.9323
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Year'], Accuracy: 0.5263, Spearman: 0.9459
/usr/local/lib/python3.11/dist-packages/sklearn/linear_model/_logistic.py:465: ConvergenceWarning: lbfgs failed to converge (status=1):
STOP: TOTAL NO. of ITERATIONS REACHED LIMIT.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html
Please also refer to the documentation for alternative solver options:
    https://scikit-learn.org/stable/modules/linear_model.html#logistic-regression
  n_iter_i = _check_optimize_result(
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Year'], Accuracy: 0.5500, Spearman: 0.8797
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Year'], Accuracy: 0.4763, Spearman: 0.9850
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Year'], Accuracy: 0.5316, Spearman: 0.9188
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Year'], Accuracy: 0.5289, Spearman: 0.9128
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Month'], Accuracy: 0.5763, Spearman: 0.9444
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Month'], Accuracy: 0.5395, Spearman: 0.9173
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Month'], Accuracy: 0.5868, Spearman: 0.9835
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Month'], Accuracy: 0.5395, Spearman: 0.9564
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Month'], Accuracy: 0.5500, Spearman: 0.9444
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Season'], Accuracy: 0.5605, Spearman: 0.9188
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Season'], Accuracy: 0.5447, Spearman: 0.9038
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Season'], Accuracy: 0.5895, Spearman: 0.9729
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Season'], Accuracy: 0.5395, Spearman: 0.9564
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Season'], Accuracy: 0.4895, Spearman: 0.9113
