Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee'], Accuracy: 0.5105, Spearman: 0.7940
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee'], Accuracy: 0.5447, Spearman: 0.7805
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee'], Accuracy: 0.5500, Spearman: 0.7398
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee'], Accuracy: 0.5158, Spearman: 0.7173
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee'], Accuracy: 0.4921, Spearman: 0.7714
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'B365H'], Accuracy: 0.5105, Spearman: 0.9308
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'B365H'], Accuracy: 0.5684, Spearman: 0.8195
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'B365H'], Accuracy: 0.5842, Spearman: 0.9549
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'B365H'], Accuracy: 0.5579, Spearman: 0.9429
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'B365H'], Accuracy: 0.5079, Spearman: 0.9489
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'B365D'], Accuracy: 0.4842, Spearman: 0.6737
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'B365D'], Accuracy: 0.5553, Spearman: 0.7744
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'B365D'], Accuracy: 0.5474, Spearman: 0.6451
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'B365D'], Accuracy: 0.5158, Spearman: 0.5835
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'B365D'], Accuracy: 0.4789, Spearman: 0.5233
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'B365A'], Accuracy: 0.4947, Spearman: 0.9158
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'B365A'], Accuracy: 0.5605, Spearman: 0.8150
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'B365A'], Accuracy: 0.5947, Spearman: 0.9519
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'B365A'], Accuracy: 0.5553, Spearman: 0.9429
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'B365A'], Accuracy: 0.5211, Spearman: 0.9308
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Year'], Accuracy: 0.4921, Spearman: 0.6090
/usr/local/lib/python3.11/dist-packages/sklearn/linear_model/_logistic.py:465: ConvergenceWarning: lbfgs failed to converge (status=1):
STOP: TOTAL NO. of ITERATIONS REACHED LIMIT.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html
Please also refer to the documentation for alternative solver options:
    https://scikit-learn.org/stable/modules/linear_model.html#logistic-regression
  n_iter_i = _check_optimize_result(
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Year'], Accuracy: 0.5526, Spearman: 0.7714
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Year'], Accuracy: 0.4763, Spearman: 0.9850
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Year'], Accuracy: 0.5263, Spearman: 0.5038
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Year'], Accuracy: 0.4605, Spearman: 0.4226
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Month'], Accuracy: 0.4789, Spearman: 0.7429
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Month'], Accuracy: 0.5553, Spearman: 0.7759
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Month'], Accuracy: 0.5184, Spearman: 0.7609
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Month'], Accuracy: 0.5421, Spearman: 0.6180
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Month'], Accuracy: 0.4395, Spearman: 0.6241
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Season'], Accuracy: 0.4316, Spearman: 0.6812
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Season'], Accuracy: 0.5211, Spearman: 0.7669
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Season'], Accuracy: 0.5526, Spearman: 0.6256
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Season'], Accuracy: 0.5447, Spearman: 0.6060
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Season'], Accuracy: 0.4316, Spearman: 0.5143
